Timestamp,State,Headset_On,Event_Detected,Signal_Quality,Delta,Theta,Alpha,Beta,Gamma,Raw_0,Raw_1,Raw_2,Raw_3,Raw_4,Raw_5,Raw_6,Raw_7,Raw_8,Raw_9,Raw_10,Raw_11,Raw_12,Raw_13,Raw_14,Raw_15,Raw_16,Raw_17,Raw_18,Raw_19,Raw_20,Raw_21,Raw_22,Raw_23,Raw_24,Raw_25,Raw_26,Raw_27,Raw_28,Raw_29,Raw_30,Raw_31,Raw_32,Raw_33,Raw_34,Raw_35,Raw_36,Raw_37,Raw_38,Raw_39,Raw_40,Raw_41,Raw_42,Raw_43,Raw_44,Raw_45,Raw_46,Raw_47,Raw_48,Raw_49
18:09:37.838016,STREAMING,1,0,1,79.65643547006746,13.885087077707603,4.00149458256993,1.8065708992417484,0.6504119704132483,-996314,-997083,-996220,-994806,-994083,-996038,-996821,-995804,-994638,-994084,-995715,-996298,-995131,-993998,-993786,-995598,-996576,-995786,-994589,-994366,-996403,-997114,-996049,-994255,-994133,-995873,-996596,-995645,-994373,-994232,-996094,-997139,-996433,-994639,-994073,-995649,-996241,-995384,-993766,-993508,-995972,-996893,-996164,-994413,-993573,-996028,-997117,-996228,-994479,-994261
18:09:38.047101,STREAMING,1,0,1,68.1907207578018,17.761098680608207,8.336736143343789,3.560443025892653,2.1510013923535616,-996678,-997299,-996141,-994388,-993914,-995990,-996700,-995321,-993895,-993907,-995906,-996301,-994986,-992789,-992643,-995354,-996219,-995031,-992783,-992459,-994186,-994086,-993279,-991673,-991279,-992918,-992782,-991901,-990748,-990511,-992595,-992804,-991322,-989164,-988578,-990149,-990060,-989085,-987023,-986969,-989279,-989674,-989017,-987279,-987153,-989551,-989546,-988268,-986699,-987056
18:09:38.319631,STREAMING,1,0,1,74.52435012890874,13.030465111601636,7.1059121643730725,3.454290540848491,1.8849820542680702,-989505,-989834,-988687,-987170,-987173,-989111,-989138,-988168,-987279,-987563,-989357,-989305,-988811,-987926,-988251,-990331,-990408,-989014,-987613,-988099,-990226,-990584,-989671,-987933,-988279,-990629,-990978,-989889,-988671,-989348,-991960,-992141,-990922,-989476,-989445,-991541,-992147,-991207,-989610,-990291,-992129,-992123,-991594,-990171,-991023,-993213,-993102,-991789,-990515,-991335
18:09:38.445390,STREAMING,1,0,1,82.38415233696439,10.154027992120742,4.411609049072634,1.8896107269105982,1.1605998949316325,-993492,-993166,-992039,-990965,-991607,-993989,-994121,-992965,-991271,-991949,-994461,-994402,-993253,-991933,-992541,-994838,-994604,-993028,-991559,-992649,-994859,-995208,-994501,-992902,-993564,-995626,-995520,-994389,-992895,-994053,-996068,-995475,-993559,-992556,-994418,-996976,-996943,-995496,-993932,-994718,-996822,-996997,-995731,-994245,-995006,-997081,-996909,-995538,-994027,-995092
18:09:38.652320,STREAMING,1,0,1,68.55423625735682,15.911792460942332,9.336021516865488,4.100393384439436,2.0975563803959334,-996691,-996721,-995773,-994449,-995693,-998011,-997472,-995882,-994719,-995869,-997913,-997609,-996304,-994891,-995897,-997753,-997431,-996329,-995291,-996443,-998361,-998046,-997378,-996173,-997059,-998871,-998747,-997419,-996461,-997864,-999699,-999365,-998098,-996853,-998336,-1000243,-999905,-998591,-997562,-998773,-1000431,-1000538,-999253,-997946,-999433,-1001277,-1001089,-999538,-998364,-999800
18:09:38.919686,STREAMING,1,0,1,75.11196058158193,12.050345460269197,7.12898459714099,3.6543409943353997,2.0543683666724837,-1001839,-1001592,-1000372,-999436,-1000852,-1002597,-1002334,-1000981,-999821,-1001649,-1003668,-1003071,-1001329,-999362,-1001293,-1003799,-1003568,-1002244,-1001209,-1002607,-1004314,-1004058,-1002736,-1001394,-1003081,-1004864,-1004105,-1003021,-1002076,-1003534,-1005219,-1004630,-1003353,-1002482,-1004263,-1005766,-1005440,-1004341,-1003243,-1004811,-1006538,-1006133,-1005341,-1004491,-1006208,-1008171,-1007723,-1006435,-1005523,-1007179
18:09:39.040518,STREAMING,1,0,1,85.03011422497208,7.535313768295962,4.248145192495053,2.029834305870945,1.1565925083659399,-1008812,-1008157,-1006948,-1006155,-1008324,-1009939,-1009101,-1007898,-1007316,-1009274,-1011098,-1010667,-1009381,-1008401,-1010790,-1012746,-1012473,-1011268,-1010428,-1012519,-1014031,-1013651,-1012464,-1011627,-1014055,-1015555,-1015174,-1014024,-1013773,-1016303,-1018163,-1017654,-1016841,-1016513,-1019397,-1021536,-1020829,-1019121,-1018687,-1021794,-1023543,-1022295,-1021400,-1020720,-1023118,-1025526,-1024826,-1022726,-1021587,-1023491
18:09:39.249397,STREAMING,1,0,1,76.39246500728005,10.9329526736416,7.548000503632564,3.282439893073688,1.8441419223720958,-1024590,-1023445,-1022099,-1021241,-1023479,-1025348,-1024460,-1022841,-1022089,-1024409,-1025962,-1025761,-1024276,-1023146,-1025311,-1026594,-1026099,-1025098,-1024523,-1027144,-1028559,-1027743,-1026218,-1025741,-1028117,-1028891,-1028282,-1026660,-1025957,-1028561,-1029759,-1028883,-1026979,-1026044,-1028351,-1029933,-1028723,-1027263,-1026862,-1029636,-1031043,-1030184,-1028525,-1027177,-1029893,-1031339,-1030311,-1028663,-1028230,-1030745
18:09:39.526199,STREAMING,1,0,1,83.46050895977599,7.357743682672509,5.884016639625626,2.146813312729342,1.150917405196538,-1031059,-1030161,-1028862,-1028308,-1031157,-1032225,-1031029,-1029701,-1029279,-1031775,-1032763,-1031894,-1030275,-1030147,-1033061,-1033931,-1032788,-1030784,-1030528,-1033465,-1034352,-1033761,-1031936,-1031552,-1034422,-1035509,-1034492,-1032718,-1033019,-1035414,-1036068,-1035279,-1033716,-1033274,-1035848,-1037034,-1036119,-1034048,-1033585,-1036556,-1038319,-1037321,-1035413,-1035208,-1037848,-1038675,-1038193,-1036436,-1036326,-1038711
18:09:39.637650,STREAMING,1,0,1,79.441856879269,11.643647718351275,4.893806052198181,2.3137069999472923,1.7069823502342647,-1039037,-1038650,-1037870,-1037771,-1039750,-1040463,-1039829,-1038101,-1038228,-1041233,-1041959,-1041164,-1039998,-1040387,-1043174,-1043701,-1042322,-1040081,-1040309,-1043656,-1044919,-1043974,-1041946,-1042216,-1044633,-1045079,-1044095,-1042335,-1042663,-1045090,-1045548,-1044281,-1042528,-1042353,-1045022,-1045514,-1044329,-1042706,-1042607,-1045014,-1045681,-1044349,-1042043,-1042650,-1045711,-1046424,-1045437,-1043646,-1044151,-1046993
