Timestamp,TA,TA SET,Sensitivity,Window_Size,Motion,Pivot,Boost,Notes,Pattern
11:56:33.660843,2.79186,2.794,4.034,0.248,0,2.000,2,MOTION_LOCK_ENGAGED,LONG FALL
11:56:33.677860,2.79186,2.794,4.034,0.248,0,2.000,2,,LONG FALL
11:56:33.694708,2.79186,2.794,4.034,0.248,0,2.000,2,,LONG FALL
11:56:33.711503,2.79167,2.794,4.034,0.248,0,2.000,2,,LONG FALL
11:56:33.728252,2.79147,2.794,4.034,0.248,0,2.000,2,,LONG FALL
11:56:33.745001,2.79128,2.794,4.034,0.248,0,2.000,2,,LONG FALL
11:56:33.761757,2.79109,2.794,4.034,0.248,0,2.000,2,,LONG FALL
11:56:33.778507,2.79070,2.794,4.034,0.248,0,2.000,2,,LONG FALL
11:56:33.795346,2.79032,2.794,4.034,0.248,0,2.000,2,,LONG FALL
11:56:33.812117,2.78974,2.794,4.034,0.248,0,2.000,2,,LONG FALL
11:56:33.828884,2.78916,2.794,4.034,0.248,0,2.000,2,,LONG FALL
11:56:33.845630,2.78838,2.794,4.034,0.248,0,2.000,2,,LONG FALL
11:56:33.862376,2.78761,2.794,4.034,0.248,0,2.000,2,,LONG FALL
11:56:33.879130,2.78665,2.794,4.034,0.248,0,2.000,2,,LONG FALL
11:56:33.895869,2.78568,2.794,4.034,0.248,0,2.000,2,,LONG FALL
11:56:33.912597,2.78452,2.794,4.034,0.248,0,2.000,2,,LONG FALL
11:56:33.929326,2.78336,2.794,4.034,0.248,0,2.000,2,,LONG FALL
11:56:33.946051,2.78200,2.794,4.034,0.248,0,2.000,2,,LONG FALL
11:56:33.962786,2.78046,2.794,4.034,0.248,0,2.000,2,,LONG FALL
11:56:33.983841,2.77891,2.780,2.887,0.346,0,2.000,0,CALIB_START,LONG FALL
11:56:34.001670,2.77561,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.019084,2.77386,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.035817,2.77192,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.053115,2.76998,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.086723,2.76609,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.104067,2.76395,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.124488,2.76180,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.141270,2.75966,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.158019,2.75751,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.175287,2.75536,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.195237,2.75321,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.213896,2.75086,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.230657,2.74871,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.250851,2.74636,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.267793,2.74420,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.284573,2.74204,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.302981,2.73733,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.322453,2.73516,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.339340,2.73300,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.356199,2.73083,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.373705,2.72866,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.390634,2.72669,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.407620,2.72472,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.424617,2.72274,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.445269,2.72076,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.462376,2.71898,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.480008,2.71740,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.497159,2.71562,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.513915,2.71403,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.535311,2.71066,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.559258,2.70907,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.576219,2.70768,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.593525,2.70629,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.618488,2.70350,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.635259,2.70231,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.653375,2.70091,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.670143,2.69972,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.686973,2.69872,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.703797,2.69773,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.721452,2.69673,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.739174,2.69573,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.757349,2.69493,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.777914,2.69414,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.799687,2.69334,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.816431,2.69274,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.833212,2.69154,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.855269,2.69094,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.872267,2.69054,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.889163,2.69014,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.905902,2.68974,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.925093,2.68934,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.943352,2.68914,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.961568,2.68874,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.978312,2.68854,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:34.998905,2.68834,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:35.020007,2.68814,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:35.036867,2.68814,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:35.053599,2.68814,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:35.072198,2.68814,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:35.092448,2.68814,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:35.110310,2.68834,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:35.127065,2.68834,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:35.143891,2.68854,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:35.166427,2.68874,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:35.184897,2.68914,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:35.201650,2.68974,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:35.220470,2.69014,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:35.239205,2.69054,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:35.257121,2.69094,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:35.273880,2.69134,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:35.291390,2.69194,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:35.312331,2.69234,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:35.333417,2.69354,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:35.355255,2.69414,2.780,2.887,0.346,0,2.000,0,,LONG FALL
11:56:35.372575,2.69473,2.780,2.887,0.346,0,2.000,0,,FALL
11:56:35.392240,2.69533,2.780,2.887,0.346,0,2.000,0,,FALL
11:56:35.412254,2.69613,2.780,2.887,0.346,0,2.000,0,,FALL
11:56:35.429013,2.69673,2.780,2.887,0.346,0,2.000,0,,FALL
11:56:35.448789,2.69753,2.780,2.887,0.346,0,2.000,0,,FALL
11:56:35.467412,2.69813,2.780,2.887,0.346,0,2.000,0,,FALL
11:56:35.485250,2.69952,2.780,2.887,0.346,0,2.000,0,,FALL
11:56:35.504401,2.70032,2.780,2.887,0.346,0,2.000,0,,FALL
11:56:35.521937,2.70111,2.780,2.887,0.346,0,2.000,0,,FALL
11:56:35.538746,2.70171,2.780,2.887,0.346,0,2.000,0,,FALL
11:56:35.557806,2.70251,2.780,2.887,0.346,0,2.000,0,,FALL
11:56:35.576405,2.70330,2.780,2.887,0.346,0,2.000,0,,FALL
11:56:35.594418,2.70410,2.780,2.887,0.346,0,2.000,0,,FALL
